id;version;job_id;is_current;start_time;finish_time;total_groups;total_parcels;x_num;y_num
1;Version 2.0.2;5d35790d4d3ae73c8d4b4589;false;2021-04-05T10:10:34;2021-04-06T03:07:34;121;1200;11;11
2;Version 2.0.1;5d35770d4d3at73c8d4b4589;false;2021-04-05T19:23:17;2021-04-06T02:30:08;121;1201;11;11
3;Version 1.8.7;5d35770d4e3ae73c8d4b4589;false;2021-04-06T01:24:48;2021-04-05T22:05:38;196;1096;14;14
4;Version 2.0.0;5d3g770d4d3ae73c8d4b4589;false;2021-04-05T18:37:41;2021-04-05T14:22:44;196;3196;14;14
5;Version 1.9.1;5d35770d4d3ae73c844b4589;false;2021-04-06T02:37:10;2021-04-06T02:35:38;196;1946;14;14
6;Version 2.0.4;5d35770d4d3re73c8d4b4589;false;2021-04-06T04:41:55;2021-04-05T23:07:55;196;1886;14;14
7;Version 2.2.2;5d35770d4f3ae73c8d4b4589;false;2021-04-05T08:15:44;2021-04-05T18:20:09;196;1911;14;14
8;Version 1.9.7;5d357g0d4d3ae73c8d4b4589;false;2021-04-06T06:04:05;2021-04-05T14:13:58;121;1241;11;11
9;Version 2.0.1;5d35770d4d6ae73c8d4b4589;false;2021-04-05T20:31:42;2021-04-05T15:46:57;121;1645;11;11
10;Version 2.0.2;9d35770d4d3ae73c8d2b4589;false;2021-04-05T07:12:35;2021-04-05T16:14:34;121;1221;11;11
11;Version 2.0.5;9c9af02d063ae21w8d206631;false;2021-04-05T07:12:35;2021-04-05T16:14:34;121;9999;11;11
12;Version 2.1.2;9c9af02d063ae21w8d206632;true;2021-04-05T07:12:35;2021-04-05T16:14:34;121;4444;11;11
13;Version 1.9.2;9c9af02d063ae21w8d206631;false;2021-04-05T07:12:35;2021-04-05T16:14:34;121;6666;11;11
14;Version 2.2.2;9c9af02d063ae21w8d206631;false;2021-04-05T07:12:35;2021-04-05T16:14:34;121;2222;11;11
15;Version 2.4.2;9c9af02d063ae21w8d206631;false;2021-04-05T07:12:35;2021-04-05T16:14:34;121;3333;11;11
16;Version 1.8.2;9c9af02d063ae21w8d206631;false;2021-04-05T07:12:35;2021-04-05T16:14:34;121;7777;11;11
17;Version 2.2.2;9c9af02d063ae21w8d206631;false;2021-04-05T07:12:35;2021-04-05T16:14:34;121;8888;11;11
18;Version 2.0.1;9c9af02d063ae21w8d206631;false;2021-04-05T07:12:35;2021-04-05T16:14:34;121;10000;11;11
19;Version 1.7.7;9c9af02d063ae21w8d206631;false;2021-04-05T07:12:35;2021-04-05T16:14:34;121;10010;11;11
20;Version 2.1.7;9c9af02d063ae21w8d206631;false;2021-04-05T07:12:35;2021-04-05T16:14:34;121;10086;11;11
